
DisplayName                                                                                  DisplayVersion      Publisher      
Microsoft .NET AppHost Pack - 9.0.17 (x64)                                                   72.68.53536         Microsoft Co...
Microsoft .NET AppHost Pack - 9.0.17 (x64_arm64)                                             72.68.53536         Microsoft Co...
Microsoft .NET AppHost Pack - 9.0.17 (x64_x86)                                               72.68.53536         Microsoft Co...
Microsoft .NET Core 3.1 Templates 8.0.200 (x64)                                              12.31.64557         Microsoft Co...
Microsoft .NET Core 5.0 Templates 5.0.408 (x64)                                              20.4.59784          Microsoft Co...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64)                                              24.192.31915        Microsoft Co...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)                                          24.192.31915        Microsoft Co...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm64)                                        24.192.31915        Microsoft Co...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)                                          24.192.31915        Microsoft Co...
Microsoft .NET Core Runtime - 3.1.32 (x64)                                                   24.192.31915        Microsoft Co...
Microsoft .NET Core Runtime - 3.1.32 (x86)                                                   24.192.31915        Microsoft Co...
Microsoft .NET Core Targeting Pack - 3.1.0 (x64)                                             24.64.28315         Microsoft Co...
Microsoft .NET CoreRuntime For CoreCon                                                       1.0.0.0             Microsoft Co...
Microsoft .NET CoreRuntime SDK                                                               1.1.27004.0         Microsoft Co...
Microsoft .NET Framework 4.7.2 Targeting Pack                                                4.7.03062           Microsoft Co...
Microsoft .NET Framework 4.8 SDK                                                             4.8.03928           Microsoft Co...
Microsoft .NET Framework 4.8 SDK (español)                                                   4.8.03761           Microsoft Co...
Microsoft .NET Framework 4.8 Targeting Pack                                                  4.8.03761           Microsoft Co...
Microsoft .NET Framework 4.8.1 SDK                                                           4.8.09032           Microsoft Co...
Microsoft .NET Framework 4.8.1 Targeting Pack                                                4.8.09032           Microsoft Co...
Microsoft .NET Host - 10.0.9 (x64)                                                           80.36.53633         Microsoft Co...
Microsoft .NET Host - 10.0.9 (x86)                                                           80.36.53633         Microsoft Co...
Microsoft .NET Host - 5.0.17 (x64)                                                           40.68.31213         Microsoft Co...
Microsoft .NET Host - 6.0.36 (x64)                                                           48.144.23141        Microsoft Co...
Microsoft .NET Host - 7.0.12 (x86)                                                           56.48.2548          Microsoft Co...
Microsoft .NET Host - 7.0.20 (x64)                                                           56.80.15184         Microsoft Co...
Microsoft .NET Host - 8.0.28 (x64)                                                           64.112.53549        Microsoft Co...
Microsoft .NET Host - 9.0.17 (x64)                                                           72.68.53536         Microsoft Co...
Microsoft .NET Host - 9.0.17 (x86)                                                           72.68.53536         Microsoft Co...
Microsoft .NET Host FX Resolver - 10.0.9 (x64)                                               80.36.53633         Microsoft Co...
Microsoft .NET Host FX Resolver - 10.0.9 (x86)                                               80.36.53633         Microsoft Co...
Microsoft .NET Host FX Resolver - 5.0.17 (x64)                                               40.68.31213         Microsoft Co...
Microsoft .NET Host FX Resolver - 6.0.36 (x64)                                               48.144.23141        Microsoft Co...
Microsoft .NET Host FX Resolver - 7.0.12 (x86)                                               56.48.2548          Microsoft Co...
Microsoft .NET Host FX Resolver - 7.0.20 (x64)                                               56.80.15184         Microsoft Co...
Microsoft .NET Host FX Resolver - 8.0.28 (x64)                                               64.112.53549        Microsoft Co...
Microsoft .NET Host FX Resolver - 9.0.17 (x64)                                               72.68.53536         Microsoft Co...
Microsoft .NET Host FX Resolver - 9.0.17 (x86)                                               72.68.53536         Microsoft Co...
Microsoft .NET Native SDK                                                                    15.0.24211.07       Microsoft Co...
Microsoft .NET Runtime - 10.0.9 (x64)                                                        80.36.53633         Microsoft Co...
Microsoft .NET Runtime - 10.0.9 (x86)                                                        80.36.53633         Microsoft Co...
Microsoft .NET Runtime - 5.0.17 (x64)                                                        40.68.31213         Microsoft Co...
Microsoft .NET Runtime - 5.0.17 (x86)                                                        40.68.31213         Microsoft Co...
Microsoft .NET Runtime - 6.0.36 (x64)                                                        6.0.36.34214        Microsoft Co...
Microsoft .NET Runtime - 6.0.36 (x64)                                                        48.144.23141        Microsoft Co...
Microsoft .NET Runtime - 6.0.36 (x86)                                                        48.144.23141        Microsoft Co...
Microsoft .NET Runtime - 7.0.12 (x86)                                                        56.48.2548          Microsoft Co...
Microsoft .NET Runtime - 7.0.20 (x64)                                                        56.80.15184         Microsoft Co...
Microsoft .NET Runtime - 8.0.28 (x64)                                                        64.112.53549        Microsoft Co...
Microsoft .NET Runtime - 8.0.28 (x86)                                                        64.112.53549        Microsoft Co...
Microsoft .NET Runtime - 9.0.17 (x64)                                                        72.68.53536         Microsoft Co...
Microsoft .NET Runtime - 9.0.17 (x86)                                                        72.68.53536         Microsoft Co...
Microsoft .NET SDK 10.0.301 (x64) from Visual Studio                                         40.11.22621         Microsoft Co...
Microsoft .NET SDK 5.0.408 (x64)                                                             5.4.822.21928       Microsoft Co...
Microsoft .NET SDK 6.0.428 (x64)                                                             6.4.2824.52403      Microsoft Co...
Microsoft .NET SDK 7.0.410 (x64)                                                             7.4.1024.27207      Microsoft Co...
Microsoft .NET SDK 8.0.422 (x64)                                                             8.4.2226.27003      Microsoft Co...
Microsoft .NET SDK 9.0.315 (x64) from Visual Studio                                          9.3.1526.26912      Microsoft Co...
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                         24.0.28113          Microsoft Co...
Microsoft .NET Targeting Pack - 10.0.9 (x64)                                                 80.36.53633         Microsoft Co...
Microsoft .NET Targeting Pack - 10.0.9 (x86)                                                 80.36.53633         Microsoft Co...
Microsoft .NET Targeting Pack - 5.0.0 (x64)                                                  40.0.29513          Microsoft Co...
Microsoft .NET Targeting Pack - 6.0.36 (x64)                                                 48.144.23141        Microsoft Co...
Microsoft .NET Targeting Pack - 6.0.36 (x86)                                                 48.144.23141        Microsoft Co...
Microsoft .NET Targeting Pack - 7.0.20 (x64)                                                 56.80.15184         Microsoft Co...
Microsoft .NET Targeting Pack - 8.0.28 (x64)                                                 64.112.53549        Microsoft Co...
Microsoft .NET Targeting Pack - 8.0.28 (x86)                                                 64.112.53549        Microsoft Co...
Microsoft .NET Targeting Pack - 9.0.17 (x64)                                                 72.68.53536         Microsoft Co...
Microsoft .NET Targeting Pack - 9.0.17 (x86)                                                 72.68.53536         Microsoft Co...
Microsoft .NET Toolset 10.0.301 (x64)                                                        40.11.22621         Microsoft Co...
Microsoft .NET Toolset 5.0.408 (x64)                                                         20.6.59784          Microsoft Co...
